cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-color,has-ring,ring-type,habitat,season
x,y,f,d,n,n,f,f,d,u
x,y,f,d,n,n,f,f,d,a
x,y,f,d,n,n,f,f,d,a
x,y,f,d,n,n,f,f,d,u
x,n,f,d,n,n,f,f,h,a
x,y,f,d,n,n,f,f,h,a
x,y,f,d,n,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,a
x,n,f,x,w,n,f,f,d,a
f,n,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,u
f,n,f,x,w,n,f,f,d,a
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,n,f,x,w,n,f,f,d,a
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
f,e,f,x,w,n,f,f,d,u
x,e,f,x,w,n,f,f,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,w
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,g,t,l,d,a
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,u
x,g,f,a,n,g,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,g,f,a,n,w,t,l,d,u
x,g,f,a,n,w,t,l,d,u
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,u
x,n,f,a,n,w,t,l,d,a
x,n,f,a,n,g,t,l,d,w
x,n,f,a,n,w,t,l,d,w
x,g,f,a,n,g,t,l,d,u
x,g,f,a,n,g,t,l,d,w
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,a
x,g,f,a,n,g,t,l,d,u
